,Unnamed: 0,tv names,price_title,available_title
0,0,Adsun 98.9 cm (39 inch) HD Ready LED Smart TV,"₹12,499",Netflix|Disney+Hotstar|Youtube
1,1,LG OLED A1 Series 164 cm (65 inch) OLED Ultra HD (4K) Smart TV,"₹1,64,990",Netflix|Prime Video|Disney+Hotstar|Youtube
2,2,OnePlus Y1 80 cm (32 inch) HD Ready LED Smart Android TV,"₹14,999",Netflix|Prime Video|Disney+Hotstar|Youtube
3,3,SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,"₹15,999",Netflix|Disney+Hotstar|Youtube
4,4,OnePlus Y1 100 cm (40 inch) Full HD LED Smart Android TV,"₹21,999",Netflix|Prime Video|Disney+Hotstar|Youtube
5,5,Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV,"₹21,999",Netflix|Prime Video|Disney+Hotstar|Youtube
6,6,Coocaa 80 cm (32 inch) HD Ready LED Smart TV with Dolby Audio and Eye Care Technology,"₹10,499",Youtube
7,7,LG OLED A1 Series 139 cm (55 inch) OLED Ultra HD (4K) Smart TV,"₹99,999",Netflix|Prime Video|Disney+Hotstar|Youtube
8,8,OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV,"₹16,499",Netflix|Prime Video|Disney+Hotstar|Youtube
9,9,Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹31,999",Netflix|Prime Video|Disney+Hotstar|Youtube
10,10,OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV,"₹25,999",Netflix|Prime Video|Disney+Hotstar|Youtube
11,11,Xiaomi OLED Vision 138.8 cm (55 inches) 4K Ultra HD Smart Android TV with Dolby Vision IQ and Dolby At...,"₹89,999",Netflix|Prime Video|Disney+Hotstar|Youtube
12,12,LG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹32,990",Netflix|Prime Video|Disney+Hotstar|Youtube
13,13,LG 80 cm (32 inch) HD Ready LED Smart TV,"₹16,999",Netflix|Prime Video|Disney+Hotstar|Youtube
14,14,InnoQ Super Bright 102 cm (40 inch) Full HD LED Smart TV with With Pixel Boost Engine & Thunder Audio ...,"₹13,890",Netflix|Prime Video|Disney+Hotstar|Youtube
15,15,LG OLED A1 Series 121 cm (48 inch) OLED Ultra HD (4K) Smart TV,"₹74,990",Netflix|Prime Video|Disney+Hotstar|Youtube
16,16,OnePlus Y1 108 cm (43 inch) Full HD LED Smart Android TV,"₹24,999",Netflix|Prime Video|Disney+Hotstar|Youtube
17,17,Xiaomi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹15,499",Netflix|Prime Video|Disney+Hotstar|Youtube
18,18,realme 80 cm (32 inch) HD Ready LED Smart Android TV,"₹15,999",Netflix|Prime Video|Disney+Hotstar|Youtube
19,19,InnoQ Frameless 80 cm (32 inch) HD Ready LED TV with With Pixel Boost Engine & Thunder Audio Speakers,"₹8,290",HD Ready 1366 x 768 Pixels
20,20,LG 80 cm (32 inch) HD Ready LED Smart TV with Alpha5 Gen5 AI Processor | (Ceramic Black) (2022 Model),"₹18,999",Netflix|Prime Video|Disney+Hotstar|Youtube
21,21,MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV,"₹8,999",HD Ready 1366 X 768 Pixels
22,22,acer Frameless 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio,"₹13,999",Netflix|Prime Video|Disney+Hotstar|Youtube
23,23,InnoQ Frameless 80 cm (32 inch) HD Ready LED Smart TV with With Pixel Boost Engine & Thunder Audio Spe...,"₹9,490",Netflix|Prime Video|Disney+Hotstar|Youtube
